symbol,capexPerShare,country,exchange,sector,year,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe
AAPL,-0.6603369778285755,United States,NMS,Technology,2022,24.31727304755197,6.154614437637777,7.532762624088375,6.872425646259799,2.9787931805221803,3.124822127430853,3.124822127430853,3.124822127430853,7.585118441624466,2439367314090,2535790314090,24.441823533260525,6.186137718067193,19.970096962693717,21.888923611981014,48.14034011071204,48.14034011071204,6.430662580618166,19.42524045388039,20.75947240783948,22.754146192134094,0.040913477615088595,0.04568520671581333,5.961536943479634,0.8563535598361469,0.738641499605488,0.8793560286267226,40.74957352439441,1.2239211246154926,0.006083954603424043,0.14870294480125848,0,0.06657148363798665,0,-0.08766199212450164,-0.02715505873283155,-0.9643371757925072,0.022920005680550203,20.801963754945305,0.4146828525530521,0.2829244092925685,-12.67929632054538,-18577000000,50672000000,-166678000000,2.3695334701610355,56219000000,59439000000,5763000000,56.400204905560855,104.6852773031054,8.07569806661716,6.471607693822622,3.486641191608828,45.19733117670845,1.9695887275023682
AAPL,-0.6637219009426348,United States,NMS,Technology,2021,21.90354123925411,5.669029281123018,6.229345884552985,5.56562398361035,3.750552652516527,3.7775565837141025,3.7775565837141025,3.7775565837141025,7.6260059712817085,2453750882240,2543529882240,25.916253509083226,6.707591178758778,23.585140835463964,26.39775889148279,38.89286546584245,38.89286546584245,6.953011703228664,21.155006381276355,24.448085144274206,27.363612602498037,0.038585824129614886,0.03788200370004322,4.563512442542399,0.8202574344305731,0.7467084743789143,1.0745531195957954,41.19054820415879,1.0988381918039714,0.0058958715429144335,0.15279890156316012,0,0.059904269074427925,0,-0.1065476076049136,-0.030302036264033657,-0.9823644097837646,0.021611898845597662,21.950837680915992,0.4172854617354633,0.26974205275183616,-10.97841529675105,9355000000,63090000000,-153076000000,1.9768426058012363,44475500000,48529500000,5320500000,51.390968708397914,93.85107122231561,11.27659274770989,7.102415252591931,3.889140478060004,32.367933130699086,1.5007132667617689
AAPL,-0.4212165672676634,United States,NMS,Technology,2020,15.820258033039078,3.3085872682177895,4.649230448454163,4.2280138811865,5.241031369137106,3.765476712094932,3.765476712094932,3.765476712094932,6.645240272960322,1948295921320,2022715921320,33.93593425162425,7.0972293729668685,24.150233300939583,26.556204202548898,29.818269660080503,29.818269660080503,7.368325670072673,26.152202127120397,25.07271142276322,27.5705843565733,0.02946728952812424,0.03765598397921713,3.957039440456695,0.7982666847799239,0.9621948696731485,1.3636044481554577,23.07274625826662,1.405201093867029,0.007227341517226967,0.24526658654264863,0,0.06830956414039306,0,-0.09059920172546297,-0.026625138881299748,-0.661089001447178,0.024876600550061016,16.74258602902124,0.2759479381338481,0.1772557180259843,-7.9236288086774875,38321000000,65339000000,-114836000000,1.720809929750991,41624500000,44266000000,4083500000,49.78753437881355,91.04818971567418,8.741883356235881,7.331152356789959,4.008866086627577,41.75301649839941,0.8786635853012749
AAPL,-0.5681776347958805,United States,NMS,Technology,2019,14.085283273500087,2.9914457730615696,3.7566854936751732,3.1885078588792926,5.443948396585932,4.898833522383005,4.898833522383005,4.898833522383005,6.043038792646076,1010474435880,1069677435880,18.287144126972635,3.8838409521320347,14.562038821749217,17.15692807457213,11.16694407965697,11.16694407965697,4.11139251377924,13.986916796945486,15.415218628928823,18.1621406526759,0.05468322407570733,0.0582854923476701,2.7410043320661304,0.7326921031797611,0.774128169253501,1.540125617208044,17.87751677852349,1.2558093238743304,0.013972644431824813,0.25551976255972203,0,0.06233136285716482,0,-0.15124439768846104,-0.04033838892433525,-0.8364549294652108,0.0233228531674956,18.158424594467483,0.2761526945149468,0.16323009842961633,-6.012829824545447,57101000000,90488000000,-85209000000,1.1940478295464592,47399500000,51062000000,4031000000,64.25876528784583,104.31407696777144,9.263638723714628,5.68015893808401,3.4990483605848257,39.40136385776912,0.6106445053487756
AAPL,-0.6716441554295466,United States,NMS,Technology,2018,13.39933369348084,3.0033537307050504,3.9065645257666572,3.2349203703371106,3.344901911600268,5.405592753084175,5.405592753084175,5.405592753084175,5.939154578955345,1118626803980,1207196803980,18.790660395088274,4.21177659210452,14.4461968125113,17.445560798802266,10.440113152771426,10.440113152771426,4.545254255464147,14.757726726812631,15.590009607924168,18.826855538435147,0.05321792736254187,0.05732117250530895,2.4133013523477094,0.7070285050242668,1.0827495996381462,1.1238426916297297,21.882098765432097,1.300734071324184,0.012257886143272816,0.23033377567989788,0,0.05360040663416103,0,-0.1719270604643955,-0.05012519060976298,-1.2210400807117308,0.020105800184491426,19.112441265758534,0.2243848546114417,0.16277530931710985,-7.746774362475348,14473000000,107147000000,-127239000000,1.0684666859548098,42334000000,52468500000,4405500000,67.33249872926825,124.57021422115831,8.817631109699796,5.42085927135422,2.9300744345834526,41.3943377148635,0.5556011834209077
SBUX,-1.6040595870720447,United States,NMS,Consumer Cyclical,2022,28.09504312222319,2.8587856085024828,3.830734384528269,2.226674797456224,2.7728025089293493,-7.584807038940674,-10.574178935447339,-7.584807038940674,21.158376165171184,98283198000,119269598000,29.94977998537299,3.0475126743007044,22.350805721692858,38.451955399061035,-11.288355730135759,-11.288355730135759,3.698247706222888,18.96117738704652,27.12337070475064,46.66259702660407,0.03338922691546931,0.02600647976473049,-4.212562883329888,1.3109077002258887,3.3363645035134017,0.7669201687099806,9.562642369020502,1.3392519948833526,0.023028351193863268,0.6896940516821063,0.06300716582481403,0,0.12293054642152518,-0.4187342232733723,-0.05709404253603843,-1.2039361841244933,0.008418526339289868,22.087894583669996,0.1714245722613145,0.13372998084681528,-27.462562069866713,-2133100000,-12138100000,-29658400000,-2.7341097558174257,1057750000,1326500000,1890250000,13.303984769133931,22.032187007939964,33.26991691513953,27.43538919608677,16.56667129179964,10.970872002205274,-0.37690947097604116
SBUX,-1.2457627118644068,United States,NMS,Consumer Cyclical,2021,24.627627118644067,3.558728813559322,5.075508474576271,3.8297457627118643,5.608389830508474,-4.509491525423729,-7.916694915254237,-4.509491525423729,20.402457627118643,131522800000,148672200000,31.320172409687327,4.52581157993985,21.960361323070245,29.103759598150074,-24.716755619033297,-24.716755619033297,5.115937041905536,22.33421965838929,24.823796563757494,32.89863025823726,0.03192830444607323,0.034359822023253765,-6.898274825227392,1.1692914890770436,2.5762615109588833,1.1968986922491842,10.370583226905065,1.4258743423088827,0.016111275003269396,0.5046079108422833,0.06650241220071161,0,0.12828500984308405,-0.24544589337296088,-0.05058395215515165,-0.9645036414933403,0.010980502811366593,19.00213914499122,0.2212079271523168,0.1534529003778494,-24.222245762711864,1605000000,-9341700000,-26950700000,-4.436048259791025,911700000,1104750000,1577650000,11.806363254716008,21.395382590858073,28.32292352053257,30.915531914893617,17.059755694948826,12.887087723673545,-0.7891640983236864
SBUX,-1.2644677405608113,United States,NMS,Consumer Cyclical,2020,20.044319440893208,0.7911872496377738,1.3618000511378163,0.09733231057700503,3.9479246569504816,-6.652262848376374,-10.183840450012784,-6.652262848376374,21.900451717378335,100985930999.99998,121893830999.99998,108.7858784875579,4.293984650055276,63.20311115283515,884.2901138353764,-12.93845447207595,-12.93845447207595,5.183001573263032,36.02808825702716,76.28854111903867,1067.3715499124341,0.009192369578689135,0.0011308505934356343,-4.762770496214014,1.2655160087831283,6.179735760943458,1.0625578483149125,3.5736842105263156,1.727911755163837,0.019047207674898793,2.0720672196488206,0.07141763755421379,0,0.1412551703007711,-0.928526724245838,-0.06308359554383876,-0.9869611495476317,0.010570626753975678,10.88217233849359,0.06303560781508985,0.036800501086215374,-26.50946049603682,459600000,-11948700000,-29367500000,-3.23619172079794,881300000,1093800000,1540400000,13.710392040139467,19.732134634241476,30.676855067203352,26.62214172515282,18.49774526505662,11.898220961712003,-0.11893505528436535
SBUX,-1.5250717541786256,United States,NMS,Consumer Cyclical,2019,22.37768022961337,3.0383251730541954,4.260509876751646,2.7354381225730204,2.327452304575384,-5.2610163768360625,-8.866790477798412,-5.2610163768360625,9.706229951038326,104742332000,113222732000,29.101559235385643,3.951258534966011,20.753384584901923,32.32388964325392,-16.806638426237928,-16.806638426237928,4.271169809043103,19.658430766559597,22.433669902912623,34.94097395383286,0.03436241996216009,0.030936870872800504,-4.0837264529379675,1.3242002955316448,1.4724194808577133,0.9165464360400084,12.319939577039275,1.4040505202247817,0.016815550755543612,0.48935874638808624,0.06881163094241115,0,0.22230431434577202,-0.35795522092332077,-0.06815146782553587,-1.246532808942248,0.011618870857004896,18.96457924937451,0.2593155069541223,0.24079748444503915,-17.954921492486914,-514800000,-10503600000,-19796700000,-1.7918231122236128,1263850000,1184500000,1464950000,12.105807172012101,22.830130648510817,29.34891301490497,30.150818926296633,15.987643943851392,12.436576435203348,-0.577516767754565
SBUX,-1.5097395156978077,United States,NMS,Consumer Cyclical,2018,18.882820258192652,3.45145519822779,9.119089450767703,7.609349935069895,6.827438698342372,0.893361851653808,-2.6033152547551754,0.893361851653808,7.341226797036132,72759778000,73443578000,16.10335258836288,2.943416250328688,6.09490676674094,7.304171903547694,62.21443180846515,62.21443180846515,2.9710786221404155,10.121074622752015,6.1521870026303,7.372816873130283,0.062098870065271504,0.13690805928517263,19.64993587002993,0.9513255286383733,0.09423275683869634,2.198057774181063,22.802701115678214,2.6422753430721557,0.023961040672773905,0.3858530863377819,0.07115839721677218,0,0.189755095958007,-0.16555814304143143,-0.07995307348449604,-1.5134390075809787,0.010125609336758429,8.329253517137724,0.5554806060254913,0.23084822660249532,-9.247708349247574,6810000000,-3408000000,-10486400000,8.071911073108167,1259450000,980900000,1382250000,24.341208357774224,24.784197101516032,29.43294161000017,14.995147103427358,14.727126261341473,12.40107104605498,3.863445917058572
